reltime,datetime,iSensor,confidence,heart_rate
48.703,2024/06/13 11:30:59.2229,3,1.0,64.0
48.744,2024/06/13 11:30:59.2639,5,1.0,63.0
48.949,2024/06/13 11:30:59.4689,3,1.0,64.0
48.99,2024/06/13 11:30:59.5099,5,1.0,63.0
49.196,2024/06/13 11:30:59.7159,3,1.0,64.0
49.237,2024/06/13 11:30:59.7569,5,1.0,63.0
49.442,2024/06/13 11:30:59.9619,3,1.0,64.0
49.482,2024/06/13 11:31:00.0019,5,1.0,63.0
49.688,2024/06/13 11:31:00.2079,3,1.0,64.0
49.935,2024/06/13 11:31:00.4549,3,1.0,64.0
49.976,2024/06/13 11:31:00.4959,5,1.0,63.0
50.18,2024/06/13 11:31:00.6999,3,1.0,64.0
50.221,2024/06/13 11:31:00.7409,5,1.0,63.0
50.427,2024/06/13 11:31:00.9469,3,1.0,64.0
50.468,2024/06/13 11:31:00.9879,5,1.0,63.0
50.673,2024/06/13 11:31:01.1929,3,1.0,64.0
50.714,2024/06/13 11:31:01.2339,5,1.0,63.0
50.919,2024/06/13 11:31:01.4389,3,1.0,64.0
50.96,2024/06/13 11:31:01.4799,5,1.0,63.0
51.166,2024/06/13 11:31:01.6859,3,1.0,64.0
51.207,2024/06/13 11:31:01.7269,5,1.0,63.0
51.412,2024/06/13 11:31:01.9319,3,1.0,64.0
51.453,2024/06/13 11:31:01.9729,5,1.0,63.0
51.658,2024/06/13 11:31:02.1779,3,1.0,64.0
51.699,2024/06/13 11:31:02.2189,5,1.0,63.0
51.904,2024/06/13 11:31:02.4239,3,1.0,64.0
51.945,2024/06/13 11:31:02.4649,5,1.0,63.0
52.151,2024/06/13 11:31:02.6709,3,1.0,64.0
52.192,2024/06/13 11:31:02.7119,5,1.0,63.0
52.397,2024/06/13 11:31:02.9169,3,1.0,64.0
52.438,2024/06/13 11:31:02.9579,5,1.0,63.0
52.643,2024/06/13 11:31:03.1629,3,1.0,64.0
52.684,2024/06/13 11:31:03.2039,5,1.0,63.0
52.889,2024/06/13 11:31:03.4089,3,1.0,64.0
52.93,2024/06/13 11:31:03.4499,5,1.0,63.0
53.136,2024/06/13 11:31:03.6559,3,1.0,64.0
53.177,2024/06/13 11:31:03.6969,5,1.0,63.0
53.382,2024/06/13 11:31:03.9019,3,1.0,64.0
53.423,2024/06/13 11:31:03.9429,5,1.0,63.0
53.628,2024/06/13 11:31:04.1479,3,1.0,65.0
53.67,2024/06/13 11:31:04.1899,5,1.0,63.0
53.875,2024/06/13 11:31:04.3949,3,1.0,65.0
53.916,2024/06/13 11:31:04.4359,5,1.0,63.0
54.121,2024/06/13 11:31:04.6409,3,1.0,65.0
54.162,2024/06/13 11:31:04.6819,5,1.0,63.0
54.367,2024/06/13 11:31:04.8869,3,1.0,65.0
54.409,2024/06/13 11:31:04.9289,5,1.0,63.0
54.614,2024/06/13 11:31:05.1339,3,1.0,65.0
